customer_id,plan,mrr,signup_date,churn_date,is_churned,country,industry
C0039,Growth,318,2022-12-29,,0,Australia,SaaS
C0040,Growth,335,2023-10-24,2024-07-16,1,UK,SaaS
C0041,Starter,97,2022-07-14,,0,Germany,Fintech
C0042,Starter,93,2022-09-13,,0,Germany,EdTech
C0043,Starter,142,2023-10-30,,0,India,SaaS
C0044,Enterprise,1019,2022-08-31,2023-07-05,1,USA,E-commerce
C0045,Enterprise,1013,2022-06-18,,0,UK,E-commerce
C0046,Starter,139,2023-12-15,,0,Canada,E-commerce
C0047,Starter,92,2022-10-31,,0,Canada,EdTech
C0048,Starter,119,2022-11-18,2023-11-12,1,Canada,EdTech
C0049,Starter,93,2023-06-05,2023-11-07,1,Canada,SaaS
C0050,Growth,349,2022-08-29,,0,Canada,Fintech
C0051,Growth,315,2022-02-10,,0,Australia,EdTech
C0052,Growth,302,2022-11-20,,0,Australia,Healthcare
C0053,Starter,108,2023-02-10,2024-03-06,1,Germany,Healthcare
C0054,Enterprise,1025,2022-03-16,2023-03-29,1,India,SaaS
C0055,Growth,348,2023-06-03,,0,UK,SaaS
C0056,Enterprise,1017,2023-01-14,,0,Canada,Healthcare
C0057,Growth,331,2023-11-01,,0,Canada,Healthcare
C0058,Enterprise,997,2022-04-17,,0,UK,SaaS
C0059,Enterprise,1027,2023-07-21,2024-02-10,1,USA,Healthcare
C0060,Starter,121,2023-10-12,,0,Germany,Healthcare
C0061,Enterprise,1042,2022-02-22,2022-11-25,1,UK,SaaS
C0062,Starter,105,2022-05-14,,0,USA,E-commerce
C0063,Growth,296,2023-03-14,,0,India,Fintech
C0064,Growth,298,2023-01-14,,0,Germany,Fintech
C0065,Starter,139,2023-01-09,,0,India,Healthcare
C0066,Starter,111,2022-09-13,,0,Canada,E-commerce
C0067,Enterprise,1004,2022-06-08,,0,USA,Fintech
C0068,Enterprise,1010,2022-01-26,2023-07-13,1,Germany,Fintech
C0069,Starter,91,2023-12-20,2025-05-09,1,Germany,Fintech
C0070,Starter,141,2023-04-17,,0,USA,Fintech
C0071,Starter,106,2022-07-17,,0,India,Healthcare
C0072,Starter,142,2023-06-06,,0,Canada,Healthcare
C0073,Enterprise,1005,2022-04-29,,0,USA,EdTech
C0074,Enterprise,1016,2022-09-29,2023-09-29,1,UK,Healthcare
C0075,Starter,125,2023-06-08,2024-11-09,1,USA,Healthcare
C0076,Starter,140,2023-03-23,2024-09-06,1,Canada,Fintech
C0077,Starter,147,2022-03-13,,0,UK,EdTech
C0078,Starter,108,2022-05-08,,0,Canada,Healthcare
C0079,Growth,307,2022-12-01,,0,Canada,Fintech
C0080,Starter,132,2023-11-12,,0,Australia,Fintech
C0081,Growth,342,2022-11-05,,0,India,Healthcare
C0082,Starter,127,2023-03-17,,0,Australia,Healthcare
C0083,Starter,121,2023-03-29,,0,Germany,Fintech
C0084,Growth,329,2022-10-18,,0,Canada,Healthcare
C0085,Starter,103,2022-08-29,,0,USA,Fintech
C0086,Starter,128,2022-09-08,,0,India,E-commerce
C0087,Starter,134,2023-10-07,,0,Australia,E-commerce
C0088,Starter,89,2022-09-07,2023-10-24,1,India,E-commerce
C0089,Starter,92,2023-12-14,,0,Canada,Fintech
C0090,Enterprise,1040,2022-05-05,,0,Germany,EdTech
C0091,Enterprise,1037,2023-09-02,,0,Germany,EdTech
C0092,Growth,347,2023-06-01,,0,Canada,E-commerce
C0093,Enterprise,1037,2023-05-02,,0,USA,Healthcare
C0094,Growth,304,2023-06-18,,0,UK,E-commerce
C0095,Starter,110,2022-10-20,,0,UK,EdTech
C0096,Starter,133,2022-06-04,,0,USA,Fintech
C0097,Starter,118,2023-02-22,,0,Germany,SaaS
C0098,Starter,138,2023-03-07,,0,Canada,SaaS
C0099,Enterprise,989,2023-08-13,,0,UK,Healthcare
C0100,Growth,336,2023-03-06,,0,Canada,EdTech
C0101,Enterprise,1016,2023-05-15,,0,Germany,SaaS
C0102,Starter,114,2023-11-16,,0,Australia,Fintech
C0103,Growth,323,2022-05-11,,0,India,E-commerce
C0104,Growth,316,2023-11-10,2024-12-03,1,USA,E-commerce
C0105,Starter,102,2022-09-24,,0,Germany,Healthcare
C0106,Starter,149,2023-01-24,,0,Germany,Healthcare
C0107,Growth,292,2023-04-27,2024-03-28,1,UK,Fintech
C0108,Growth,349,2023-10-30,2024-01-13,1,USA,Fintech
C0109,Growth,319,2023-09-29,2024-01-31,1,Australia,SaaS
C0110,Growth,305,2022-08-12,,0,UK,Fintech
C0111,Growth,299,2022-04-28,,0,UK,SaaS
C0112,Growth,347,2022-11-16,,0,Germany,E-commerce
C0113,Enterprise,1042,2022-07-23,2023-09-09,1,Australia,Fintech
C0114,Starter,127,2022-11-05,,0,India,EdTech
C0115,Growth,331,2022-12-22,,0,UK,SaaS
C0116,Growth,341,2022-12-16,2023-09-17,1,Germany,SaaS
C0117,Starter,142,2023-01-06,,0,Germany,Fintech
C0118,Starter,106,2023-06-19,,0,Canada,EdTech
C0119,Growth,335,2023-04-22,,0,Canada,Healthcare
C0120,Starter,94,2022-09-09,,0,UK,E-commerce
C0121,Starter,131,2023-04-21,,0,Germany,Healthcare
C0122,Starter,102,2022-11-29,,0,UK,Healthcare
C0123,Starter,106,2023-09-03,,0,Canada,SaaS
C0124,Growth,315,2022-07-15,2023-09-16,1,Germany,EdTech
C0125,Growth,334,2023-12-09,,0,Germany,E-commerce
C0126,Growth,314,2022-04-06,,0,Australia,Fintech
C0127,Starter,124,2023-08-19,,0,Canada,Healthcare
C0128,Starter,133,2023-07-18,,0,Germany,Healthcare
C0129,Starter,109,2022-08-25,2023-01-30,1,India,EdTech
C0130,Enterprise,1002,2023-12-08,,0,Australia,E-commerce
C0131,Starter,122,2023-08-27,,0,Canada,Healthcare
C0132,Enterprise,1012,2022-07-18,,0,USA,Healthcare
C0133,Starter,92,2023-07-01,2023-09-22,1,Canada,Healthcare
C0134,Growth,337,2022-05-10,,0,Germany,SaaS
C0135,Enterprise,1019,2023-08-11,,0,Germany,Healthcare
C0136,Starter,144,2022-02-22,,0,Germany,SaaS
C0137,Growth,325,2023-02-15,,0,Australia,SaaS
C0138,Starter,94,2023-07-31,,0,USA,SaaS
C0139,Growth,339,2023-03-03,,0,Canada,Fintech
C0140,Growth,317,2023-01-25,,0,UK,EdTech
C0141,Enterprise,992,2022-11-09,,0,Canada,SaaS
C0142,Enterprise,1005,2022-08-01,,0,Australia,SaaS
C0143,Starter,99,2022-06-27,,0,India,E-commerce
C0144,Starter,91,2023-09-01,,0,USA,Healthcare
C0145,Growth,293,2023-12-21,,0,Australia,Fintech
C0146,Enterprise,1040,2023-10-03,,0,USA,E-commerce
C0147,Starter,147,2022-08-19,,0,UK,Fintech
C0148,Starter,127,2022-06-19,,0,Australia,EdTech
C0149,Enterprise,1008,2023-03-26,2024-05-11,1,Australia,E-commerce
C0150,Enterprise,1017,2023-05-28,,0,India,EdTech
C0151,Starter,127,2023-03-19,,0,UK,SaaS
C0152,Starter,125,2023-11-22,,0,Canada,SaaS
C0153,Enterprise,1025,2023-11-20,,0,India,Fintech
C0154,Starter,106,2023-10-30,,0,USA,EdTech
C0155,Starter,119,2023-05-19,,0,UK,E-commerce
C0156,Starter,110,2023-11-18,2024-04-08,1,Germany,E-commerce
C0157,Starter,124,2023-02-15,,0,India,E-commerce
C0158,Starter,138,2022-09-16,,0,Germany,EdTech
C0159,Growth,323,2022-01-02,,0,Germany,E-commerce
C0160,Starter,137,2023-06-15,,0,Germany,E-commerce
C0161,Growth,297,2022-07-28,,0,UK,E-commerce
C0162,Enterprise,1027,2023-05-12,2024-05-28,1,USA,Fintech
C0163,Starter,94,2022-01-15,,0,USA,SaaS
C0164,Starter,98,2022-05-01,,0,Germany,Healthcare
C0165,Growth,319,2022-10-07,,0,Germany,Fintech
C0166,Starter,147,2022-05-29,,0,Canada,EdTech
C0167,Growth,306,2022-05-20,,0,Germany,Healthcare
C0168,Enterprise,989,2023-06-04,,0,UK,Healthcare
C0169,Growth,320,2023-08-17,,0,USA,E-commerce
C0170,Growth,337,2022-12-20,,0,Canada,E-commerce
C0171,Starter,133,2022-11-26,,0,USA,EdTech
C0172,Starter,119,2023-02-25,2024-05-11,1,Australia,E-commerce
C0173,Starter,130,2023-11-11,,0,USA,E-commerce
C0174,Enterprise,1026,2022-05-10,,0,UK,SaaS
C0175,Enterprise,1018,2023-03-27,2024-09-03,1,India,Fintech
C0176,Starter,93,2023-11-02,,0,Germany,Healthcare
C0177,Starter,94,2023-12-11,,0,UK,EdTech
C0178,Starter,145,2022-11-21,,0,Germany,EdTech
C0179,Starter,132,2022-03-12,,0,UK,Fintech
C0180,Growth,337,2023-03-21,,0,Australia,SaaS
C0181,Starter,90,2023-12-12,,0,India,Healthcare
C0182,Growth,316,2022-10-28,,0,USA,Fintech
C0183,Growth,300,2023-08-03,,0,USA,Fintech
C0184,Starter,104,2023-01-27,,0,Germany,EdTech
C0185,Starter,118,2023-04-18,,0,UK,SaaS
C0186,Enterprise,1032,2023-04-22,,0,Canada,Fintech
C0187,Starter,108,2022-12-20,,0,Australia,E-commerce
C0188,Growth,301,2023-04-13,,0,Germany,E-commerce
C0189,Starter,125,2023-01-26,,0,UK,Healthcare
C0190,Starter,89,2023-11-06,,0,Canada,SaaS
C0191,Enterprise,1046,2023-05-24,,0,UK,Fintech
C0192,Growth,301,2022-12-27,,0,Canada,Healthcare
C0193,Growth,297,2023-11-07,,0,Australia,SaaS
C0194,Enterprise,1017,2023-10-24,2025-01-29,1,India,EdTech
C0195,Starter,109,2022-05-15,2022-12-12,1,Australia,E-commerce
C0196,Starter,145,2022-05-16,,0,UK,EdTech
C0197,Growth,305,2022-10-07,,0,Germany,Healthcare
C0198,Growth,318,2022-12-13,,0,India,Fintech
C0199,Growth,335,2022-08-20,,0,Australia,E-commerce
C0200,Enterprise,1039,2023-07-25,,0,Germany,SaaS
